Date,City,Team1,Team2,Venue,Winner
2017-04-05,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2017-04-06,Pune,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
2017-04-07,Rajkot,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Kolkata Knight Riders
2017-04-08,Indore,Kings XI Punjab,Rising Pune Supergiant,Holkar Cricket Stadium,Kings XI Punjab
2017-04-08,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore
2017-04-09,Hyderabad,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2017-04-09,Mumbai,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians
2017-04-10,Indore,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,Kings XI Punjab
2017-04-11,Pune,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils
2017-04-12,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai Indians
2017-04-13,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders
2017-04-14,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians
2017-04-14,Rajkot,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,Gujarat Lions
2017-04-15,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders
2017-04-15,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils
2017-04-16,Mumbai,Mumbai Indians,Gujarat Lions,Wankhede Stadium,Mumbai Indians
2017-04-16,Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadium,Rising Pune Supergiant
2017-04-17,Delhi,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders
2017-04-17,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2017-04-18,Rajkot,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore
2017-04-19,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2017-04-20,Indore,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians
2017-04-21,Kolkata,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,Gujarat Lions
2017-04-22,Mumbai,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai Indians
2017-04-22,Pune,Rising Pune Supergiant,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
2017-04-23,Rajkot,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,Kings XI Punjab
